Depth Averaged Temps (0/300m,deg C,5N-5S,120E-80W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date       T300        Anomaly
200206 0.1899224E+02 0.2521248E+00
200207 0.1904903E+02 0.3545589E+00
200208 0.1915354E+02 0.4385624E+00
200209 0.1932635E+02 0.5146408E+00
200210 0.1949432E+02 0.5532627E+00
200211 0.1953358E+02 0.4836750E+00
200212 0.1940030E+02 0.3320885E+00
200301 0.1916900E+02 0.1622982E+00
200302 0.1896226E+02 0.4459381E-01
200303 0.1883740E+02 -.3068352E-01
200304 0.1875856E+02 -.8034706E-01
200305 0.1876012E+02 -.3701210E-01
200306 0.1886654E+02 0.1264343E+00
200307 0.1894575E+02 0.2512817E+00
200308 0.1896651E+02 0.2515335E+00
200309 0.1904272E+02 0.2310066E+00
200310 0.1922261E+02 0.2815533E+00
200311 0.1938564E+02 0.3357410E+00
200312 0.1938313E+02 0.3149090E+00
200401 0.1926312E+02 0.2564201E+00
200402 0.1911702E+02 0.1993523E+00
200403 0.1901967E+02 0.1515846E+00
200404 0.1900403E+02 0.1651268E+00
200405 0.1899405E+02 0.1969147E+00
200406 0.1901229E+02 0.2721806E+00
200407 0.1906403E+02 0.3695602E+00
200408 0.1912428E+02 0.4093037E+00
200409 0.1924991E+02 0.4381962E+00
200410 0.1941184E+02 0.4707813E+00
200411 0.1954768E+02 0.4977779E+00
200412 0.1956190E+02 0.4936867E+00
200501 0.1942981E+02 0.4231052E+00
200502 0.1931672E+02 0.3990574E+00
200503 0.1924150E+02 0.3734207E+00
200504 0.1910768E+02 0.2687759E+00
200505 0.1897524E+02 0.1781139E+00
200506 0.1888963E+02 0.1495228E+00
200507 0.1881980E+02 0.1253338E+00
200508 0.1880049E+02 0.8551216E-01
200509 0.1887102E+02 0.5930519E-01
200510 0.1897876E+02 0.3770447E-01
200511 0.1905138E+02 0.1480103E-02
200512 0.1903482E+02 -.3339958E-01
200601 0.1893320E+02 -.7349968E-01
200602 0.1885004E+02 -.6762695E-01
200603 0.1885436E+02 -.1372528E-01
200604 0.1892257E+02 0.8366776E-01
200605 0.1900738E+02 0.2102509E+00
200606 0.1904681E+02 0.3067036E+00
200607 0.1904365E+02 0.3491764E+00
200608 0.1908645E+02 0.3714790E+00
200609 0.1920568E+02 0.3939724E+00
200610 0.1939141E+02 0.4503517E+00
