Warm Water Volume (m**3,5N-5S,120E-155W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date     Volume       Anomaly
200507 0.1656264E+16 0.1638839E+14
200508 0.1661781E+16 0.2151846E+14
200509 0.1679175E+16 0.2283111E+14
200510 0.1706077E+16 0.2204030E+14
200511 0.1736836E+16 0.2871239E+14
200512 0.1754434E+16 0.4515769E+14
200601 0.1778724E+16 0.7694743E+14
200602 0.1815106E+16 0.1011510E+15
200603 0.1824367E+16 0.9801518E+14
200604 0.1792368E+16 0.7580174E+14
200605 0.1754972E+16 0.6659199E+14
200606 0.1720538E+16 0.6223985E+14
200607 0.1692591E+16 0.5271535E+14
200608 0.1675862E+16 0.3560004E+14
200609 0.1673248E+16 0.1690432E+14
200610 0.1697808E+16 0.1377154E+14
200611 0.1702855E+16 -.5268717E+13
200612 0.1669079E+16 -.4019687E+14
200701 0.1658535E+16 -.4324173E+14
200702 0.1689595E+16 -.2435985E+14
200703 0.1718340E+16 -.8011188E+13
200704 0.1724289E+16 0.7722754E+13
200705 0.1707469E+16 0.1908831E+14
200706 0.1677701E+16 0.1940251E+14
200707 0.1657954E+16 0.1807765E+14
200708 0.1659942E+16 0.1967914E+14
200709 0.1688689E+16 0.3234553E+14
200710 0.1741947E+16 0.5791065E+14
200711 0.1792188E+16 0.8406392E+14
200712 0.1821864E+16 0.1125876E+15
200801 0.1845642E+16 0.1438652E+15
200802 0.1883870E+16 0.1699148E+15
200803 0.1905697E+16 0.1793451E+15
200804 0.1874494E+16 0.1579272E+15
200805 0.1813051E+16 0.1246710E+15
200806 0.1750688E+16 0.9238931E+14
200807 0.1697226E+16 0.5735043E+14
200808 0.1674470E+16 0.3420780E+14
200809 0.1684565E+16 0.2822142E+14
200810 0.1712963E+16 0.2892593E+14
200811 0.1745079E+16 0.3695524E+14
200812 0.1782968E+16 0.7369224E+14
200901 0.1819515E+16 0.1177381E+15
