Warm Water Volume (m**3,5N-5S,155W-80W)
TAO Project Office/NOAA/PMEL/Seattle
http://www.pmel.noaa.gov/tao/
Michael J. McPhaden, Director

 date     Volume       Anomaly
200606 0.7560938E+15 0.3298421E+14
200607 0.7883467E+15 0.5173691E+14
200608 0.8264504E+15 0.7262266E+14
200609 0.8688463E+15 0.9208121E+14
200610 0.9025750E+15 0.1047439E+15
200611 0.9361054E+15 0.1172816E+15
200612 0.9230589E+15 0.8740144E+14
200701 0.8312355E+15 0.4181553E+13
200702 0.7167678E+15 -.6366175E+14
200703 0.6286844E+15 -.1066201E+15
200704 0.5849467E+15 -.1266476E+15
200705 0.5916024E+15 -.1196597E+15
200706 0.6242057E+15 -.9890390E+14
200707 0.6397308E+15 -.9687896E+14
200708 0.6446492E+15 -.1091785E+15
200709 0.6472209E+15 -.1295442E+15
200710 0.6461149E+15 -.1517162E+15
200711 0.6633936E+15 -.1554302E+15
200712 0.6789468E+15 -.1567107E+15
200801 0.6593956E+15 -.1676583E+15
200802 0.6290050E+15 -.1514246E+15
200803 0.6266686E+15 -.1086360E+15
200804 0.6561582E+15 -.5543615E+14
200805 0.7038480E+15 -.7414120E+13
200806 0.7496658E+15 0.2655619E+14
200807 0.7704733E+15 0.3386354E+14
200808 0.7580889E+15 0.4261212E+13
200809 0.7393755E+15 -.3738964E+14
200810 0.7374826E+15 -.6034859E+14
200811 0.7332289E+15 -.8559487E+14
200812 0.7080996E+15 -.1275578E+15
200901 0.6791218E+15 -.1479321E+15
200902 0.6584701E+15 -.1219595E+15
200903 0.6584454E+15 -.7685918E+14
200904 0.6932240E+15 -.1837031E+14
200905 0.7381673E+15 0.2690515E+14
200906 0.7779392E+15 0.5482955E+14
200907 0.8035021E+15 0.6689237E+14
200908 0.8137633E+15 0.5993560E+14
200909 0.8245473E+15 0.4778218E+14
200910 0.8577002E+15 0.5986903E+14
200911 0.9172129E+15 0.9838911E+14
200912 0.9542059E+15 0.1185485E+15
201001 0.9336247E+15 0.1065708E+15
201002 0.8792962E+15 0.9886659E+14
201003 0.8151694E+15 0.7986485E+14
201004 0.7363073E+15 0.2471297E+14
201005 0.6702778E+15 -.4098439E+14
201006 0.6367158E+15 -.8639380E+14
201007 0.6197926E+15 -.1168171E+15
201008 0.5977467E+15 -.1560810E+15
201009 0.5772464E+15 -.1995187E+15
201010 0.5766257E+15 -.2212055E+15
201011 0.6064329E+15 -.2123909E+15
201012 0.6339588E+15 -.2016986E+15
201101 0.6498357E+15 -.1772183E+15
201102 0.6705651E+15 -.1098645E+15
201103 0.6894825E+15 -.4582207E+14
201104 0.7060977E+15 -.5496619E+13
201105 0.7183304E+15 0.7068241E+13
201106 0.7193292E+15 -.3780377E+13
201107 0.7114646E+15 -.2514522E+14
201108 0.6995370E+15 -.5429067E+14
201109 0.6866268E+15 -.9013834E+14
201110 0.6782157E+15 -.1196155E+15
201111 0.6832774E+15 -.1355464E+15
201112 0.6838417E+15 -.1518158E+15
201201 0.6675125E+15 -.1595415E+15
201202 0.6463798E+15 -.1340498E+15
201203 0.6360896E+15 -.9921495E+14
201204 0.6483075E+15 -.6328681E+14
201205 0.6809849E+15 -.3027724E+14
201206 0.7158715E+15 -.7238094E+13
201207 0.7451968E+15 0.8587049E+13
201208 0.7707395E+15 0.1691177E+14
201209 0.7887666E+15 0.1200148E+14
201210 0.7997612E+15 0.1929984E+13
201211 0.8004132E+15 -.1841058E+14
201212 0.7821645E+15 -.5349295E+14
201301 0.7499477E+15 -.7710621E+14
201302 0.7157144E+15 -.6471523E+14
201303 0.6849472E+15 -.5035742E+14
201304 0.6645688E+15 -.4702553E+14
201305 0.6662840E+15 -.4497817E+14
201306 0.6907946E+15 -.3231500E+14
201307 0.7262723E+15 -.1033745E+14
201308 0.7585006E+15 0.4672924E+13
201309 0.7845901E+15 0.7825028E+13
201310 0.8129188E+15 0.1508762E+14
201311 0.8355084E+15 0.1668461E+14
201312 0.8328211E+15 -.2836356E+13
201401 0.8053564E+15 -.2169757E+14
201402 0.7943699E+15 0.1394032E+14
201403 0.8166125E+15 0.8130796E+14
201404 0.8417380E+15 0.1301437E+15
201405 0.8409737E+15 0.1297116E+15
201406 0.8158637E+15 0.9275405E+14
201407 0.7904803E+15 0.5387050E+14
201408 0.7930430E+15 0.3921533E+14
201409 0.8250108E+15 0.4824570E+14
201410 0.8615115E+15 0.6368027E+14
201411 0.8877861E+15 0.6896234E+14
201412 0.8869459E+15 0.5128849E+14
201501 0.8579455E+15 0.3089155E+14
201502 0.8355997E+15 0.5517013E+14
201503 0.8401846E+15 0.1048800E+15
201504 0.8619609E+15 0.1503666E+15
201505 0.8834649E+15 0.1722028E+15
201506 0.8971354E+15 0.1740258E+15
201507 0.9133720E+15 0.1767623E+15
201508 0.9424129E+15 0.1885852E+15
201509 0.9772112E+15 0.2004461E+15
201510 0.1009328E+16 0.2114964E+15
201511 0.1028770E+16 0.2099465E+15
201512 0.1018732E+16 0.1830748E+15
201601 0.9642665E+15 0.1372125E+15
201602 0.8677816E+15 0.8735198E+14
201603 0.7566807E+15 0.2137612E+14
201604 0.6703131E+15 -.4128128E+14
201605 0.6326008E+15 -.7866132E+14
201606 0.6322125E+15 -.9089708E+14
201607 0.6497527E+15 -.8685706E+14
201608 0.6695455E+15 -.8428216E+14
201609 0.6850571E+15 -.9170795E+14
201610 0.6999400E+15 -.9789116E+14
201611 0.7264612E+15 -.9236253E+14
201612 0.7628170E+15 -.7284043E+14
201701 0.7741517E+15 -.5290219E+14
201702 0.7443165E+15 -.3611309E+14
201703 0.7065808E+15 -.2872380E+14
201704 0.6903692E+15 -.2122512E+14
201705 0.7004078E+15 -.1085432E+14
201706 0.7167627E+15 -.6346888E+13
201707 0.7195176E+15 -.1709216E+14
201708 0.7060646E+15 -.4776312E+14
201709 0.6870257E+15 -.8973938E+14
201710 0.6798351E+15 -.1179960E+15
201711 0.6945316E+15 -.1242922E+15
201712 0.7266723E+15 -.1089851E+15
201801 0.7504137E+15 -.7664027E+14
201802 0.7446436E+15 -.3578594E+14
201803 0.7349686E+15 -.3360141E+12
201804 0.7462785E+15 0.3468414E+14
201805 0.7737396E+15 0.6247748E+14
201806 0.7979832E+15 0.7487356E+14
201807 0.8090491E+15 0.7243932E+14
201808 0.8242531E+15 0.7042545E+14
201809 0.8645227E+15 0.8775759E+14
201810 0.9157902E+15 0.1179590E+15
201811 0.9426260E+15 0.1238022E+15
201812 0.9287753E+15 0.9311784E+14
201901 0.8846154E+15 0.5756142E+14
201902 0.8352138E+15 0.5478419E+14
201903 0.7898968E+15 0.5459226E+14
201904 0.7472410E+15 0.3564662E+14
201905 0.7212475E+15 0.9985396E+13
201906 0.7132525E+15 -.9857151E+13
201907 0.7109689E+15 -.2564089E+14
201908 0.7162315E+15 -.3759620E+14
201909 0.7457270E+15 -.3103812E+14
201910 0.7980210E+15 0.1897839E+12
201911 0.8433371E+15 0.2451332E+14
201912 0.8609609E+15 0.2530346E+14
202001 0.8495911E+15 0.2253717E+14
202002 0.8116848E+15 0.3125522E+14
202003 0.7572227E+15 0.2191816E+14
202004 0.7000452E+15 -.1154917E+14
202005 0.6498469E+15 -.6141528E+14
